Date,GSPC,MSFT,AAPL,V,JNJ,JPM,XOM,WMT,PG,DIS,PFE,UNH,VZ,CSCO,CVX,KO,HD,MRK,INTC,BA,MCD,NKE,IBM,UTX,AXP,MMM,CAT,GS,WBA,TRV
31-May-19,-0.013283205,-0.012744382,-0.014438056,-0.007287815,-0.00047423,-0.010327751,-0.005416968,-0.002068197,-0.023243439,-0.001211051,-0.000280572,-0.007005992,-0.044619814,-0.029168754,-0.003558536,-0.002439501,-0.006457881,-0.005916072,-0.009440493,-0.018163263,0.000958759,-0.024332126,-0.008304402,-0.010989269,-0.017542027,0.00333757,-0.016801538,-0.02189283,-0.015811567,-0.001098448
01-May-19,-0.054757689,-0.038002546,-0.118194212,-0.010208223,-0.066542324,-0.073009012,-0.109271077,-0.006340505,-0.003825191,-0.035446026,0.0312715,0.043778075,0.003927057,-0.037157804,-0.039760622,0.003865308,-0.06395611,0.012248414,-0.131965298,-0.076512149,0.008417181,-0.102669522,-0.079347828,-0.10496328,-0.000654891,-0.165649448,-0.128739115,-0.094402466,-0.058026273,0.013679887
01-Apr-19,0.038560397,0.101963261,0.054900904,0.051411705,0.010036052,0.136625959,-0.006456541,0.058380562,0.023085581,0.209961505,-0.044783568,-0.055291982,-0.033359395,0.035659617,-0.025655065,0.054571495,0.067144786,-0.048353433,-0.050803329,-0.009827418,0.039595369,0.044658984,-0.005899797,0.10115428,0.070041457,-0.092038044,0.028593042,0.070044436,-0.166422075,0.052800729
01-Mar-19,0.017765511,0.05567096,0.09688234,0.054794259,0.029401923,-0.030451308,0.033190461,-0.014858723,0.054307574,-0.016170425,-0.020508695,0.020593976,0.038091701,0.041988,0.039663222,0.032974819,0.035810052,0.022863657,0.020194761,-0.137771403,0.038778263,-0.017889189,0.032857465,0.031224864,0.014375542,0.008768664,-0.013561634,-0.020206185,-0.111847743,0.031475927
01-Feb-19,0.029295553,0.070249709,0.039523312,0.092673919,0.02639929,0.016363072,0.075539769,0.03244298,0.029212319,0.011766931,0.029675419,-0.109316077,0.043597174,0.09822492,0.042101606,-0.059716087,0.008734149,0.088163879,0.116839363,0.131831395,0.027909832,0.045948145,0.027226163,0.062381747,0.051993173,0.034784838,0.037320768,-0.006637795,-0.014918397,0.057047787
01-Jan-19,0.075742152,0.027768755,0.053686737,0.023001518,0.030750479,0.058489184,0.071989745,0.033806876,0.048313517,0.024637229,-0.027876386,0.081227834,-0.020849126,0.087453666,0.052464598,0.016338955,0.065930613,-0.019268919,0.004040302,0.178749242,0.006791006,0.099299558,0.16766966,0.10332044,0.074572375,0.049954145,0.046813387,0.170024338,0.055921845,0.053376996
01-Dec-18,-0.09626522,-0.083479712,-0.120605411,-0.069641552,-0.123204197,-0.130158047,-0.14337291,-0.04717855,-0.027787091,-0.051890424,-0.049738499,-0.118509914,-0.070059479,-0.099643736,-0.079474047,-0.054548013,-0.042321585,-0.037628833,-0.043196204,-0.067922637,-0.053638009,-0.010167947,-0.076501222,-0.129032573,-0.163666906,-0.080485451,-0.065487308,-0.128314549,-0.209026104,-0.08497035
01-Nov-18,0.017701752,0.037487186,-0.203395583,0.027616521,0.048181036,0.026687567,-0.002261491,-0.026576576,0.072471265,0.005731129,0.071034463,0.073774372,0.065714085,0.052035316,0.063250206,0.05129336,0.024931046,0.074961477,0.050535759,-0.023090406,0.063566414,0.001065534,0.073792331,-0.01926503,0.09240499,0.088761855,0.118146731,-0.167094391,0.059613861,0.041023427
01-Oct-18,-0.071929346,-0.068387318,-0.030951724,-0.085068833,0.013086211,-0.034439566,-0.064867904,0.065629357,0.063426454,-0.018208189,-0.023184827,-0.014417829,0.067005494,-0.061459989,-0.090944556,0.044404583,-0.163641142,0.043746238,-0.008707686,-0.046901665,0.055855806,-0.121330425,-0.270005466,-0.118310751,-0.03594685,-0.102091304,-0.228667414,0.005026606,0.090058747,-0.030122873
01-Sep-18,0.004285093,0.021838662,-0.004836615,0.023053021,0.032151128,-0.015302462,0.068998639,-0.014760526,0.003369841,0.042983578,0.068082852,-0.009055067,-0.018189032,0.018254018,0.041279921,0.035702305,0.03639598,0.033687754,-0.017757522,0.086435992,0.036936986,0.032656421,0.042526677,0.06508506,0.004800702,0.005684325,0.093704721,-0.055448931,0.06771963,-0.014465849
01-Aug-18,0.029814315,0.057247511,0.179172367,0.07160268,0.016242247,0.002195606,-0.016576306,0.071671334,0.034308703,-0.005647701,0.039047406,0.058443154,0.063042881,0.129610876,-0.063847169,-0.045183159,0.016320068,0.040463668,0.00683738,-0.038654887,0.029335703,0.066519345,0.010637933,-0.0302148,0.066475487,-0.006615644,-0.02891633,0.001599162,0.013805222,0.011156334
01-Jul-18,0.035387951,0.073020881,0.02759903,0.03187627,0.088137053,0.098185237,-0.014856556,0.040948071,0.03548866,0.080182123,0.095861251,0.03514475,0.026092711,-0.017346805,-0.001266383,0.070108149,0.012327617,0.089437974,-0.032923954,0.060121058,0.011742079,-0.032593254,0.03675361,0.082187757,0.015391172,0.076313156,0.05819794,0.073657685,0.11922605,0.067804284
01-Jun-18,0.004830749,0.001995305,-0.005614248,0.01475308,0.021665589,-0.026610258,0.0282595,0.043266477,0.064692426,0.052293033,0.019408394,0.015734175,0.053901621,0.00746457,0.025673016,0.019802498,0.050396187,0.019463355,-0.099002031,-0.043457619,-0.020966838,0.104134217,-0.000418947,0.007306686,-0.003056565,0.004226873,-0.113062746,-0.020258809,-0.03262394,-0.049280497
01-May-18,0.021378191,0.055327095,0.122893141,0.029815988,-0.055843202,-0.011347065,0.043909262,-0.069267378,0.020621822,-0.008608636,-0.018748818,0.021385503,-0.022131395,-0.02831908,-0.006495366,-0.004871731,0.009425099,0.01114875,0.06705376,0.054262792,-0.045388904,0.048657671,-0.025501941,0.038131757,-0.000820227,0.014504049,0.056000224,-0.053652316,-0.06304482,-0.023682518
01-Apr-18,0.002715086,0.024353159,-0.015133547,0.058921557,-0.013038112,-0.010880017,0.041223972,0.000195351,-0.091608684,-0.001095792,0.031070368,0.102854802,0.031493888,0.032120234,0.092644157,0.003710293,0.041829759,0.086388155,-0.008871867,0.017174965,0.068336113,0.031947624,-0.056786519,-0.046111345,0.056985637,-0.121576764,-0.020704089,-0.05521707,0.014857579,-0.048501304
01-Mar-18,-0.027252497,-0.022336295,-0.055735164,-0.025636856,-0.007026521,-0.049062988,-0.004858124,-0.011621536,0.009632631,-0.026720664,-0.013620563,-0.055266754,0.00167423,-0.043122886,0.028670412,0.004846975,-0.022358099,0.004600301,0.061821133,-0.094652255,-0.002352724,-0.008840919,-0.005723647,-0.062954536,-0.04434916,-0.06443083,-0.048020824,-0.040211321,-0.04504432,-0.001007782
